course_title,provider,level,rating,reviews,url,description,skills,source_dataset,it_label,quality_weight
Create an FPS Weapon in Unity (Part 1 - Revolver),Coursera Project Network,Advanced,5.0,0.0,https://www.coursera.org/learn/create-fps-weapon-unity-revolver,"In this one-hour, project-based course, you'll learn how to set up a revolver for a first-person shooter. This project covers configuring a gun prefab, enabling your FPS player to pick up, hold, fire and drop a gun with keyboard and mouse inputs, and adding an aiming reticle. The guided project will introduce you to the following Unity concepts: - Prefabs - Animation - UI Canvas - UI Image - Raycasting - Coding techniques including the Input class, KeyCodes and Interfaces This is Part 1 of a four-part series on creating a weapon for your FPS game. Part 2 covers creating visual effects when your player fires the gun. Part 3 will show you how to set up the weapon's properties and damage effects to apply to destroyable targets. Lastly, Part 4 will walk you through the steps for adding ammunition, reloading the weapon and creating magazines and other weapons. This is a stand-alone guided project, and also serves as an optional but recommended foundation for the ""FPS Weapon"" series. This series makes use of the western-themed Unity project first created in Control physics with C# in Unity and the VM-compatible FPS Player script written in Create a VM Compatible First Person Camera. These compliment this guided project and, although not prerequisites, are recommended for a more well-rounded understanding of the concepts presented herein.",gamification of learning project process .properties hold java annotation source lines of code e-nable teaching method parenting computer-science software-development,Coursera_IT_cleaned,core_it,1.0
Encryption And Decryption Using C++,Coursera Project Network,Beginner,5.0,0.0,https://www.coursera.org/learn/encryption-and-decrytion-using-cpp,"In this 2-hour long project-based course, you will (learn basics of cryptography, build basic encryption application). we will learn basics of encryption and decryption techniques and gain basic related cryptography knowledge and by the end of this project you will be able to create an encryption application. Note: This course works best for learners who are based in the North America region. We re currently working on providing the same experience in other regions.",project cryptography project mine algorithms linux security modules form-based authentication cipher perl software encryption i-deas computer-science software-development,Coursera_IT_cleaned,core_it,1.0
Compare time series predictions of COVID-19 deaths,Coursera Project Network,Beginner,5.0,0.0,https://www.coursera.org/learn/compare-time-series-predictions-of-covid19-deaths,"In this 2-hour long project-based course, you will learn how to preprocess time series data, visualize time series data and compare the time series predictions of 4 machine learning models.You will create time series analysis models in the python programming language to predict the daily deaths due to SARS-CoV-19, or COVID-19. You will create and train the following models: SARIMAX, Prophet, neural networks and XGBOOST. You will visualize data using the matplotlib library, and extract features from a time series data set, perform data splitting and normalization. To successfully complete this project, learners should have prior Python programming experience, a basic understanding of machine learning, and a familiarity of the Pandas library. Note: This course works best for learners who are based in the North America region. We re currently working on providing the same experience in other regions.",python programming modeling analysis project time series a t.i.m.e. training machine learning death time series analysis data-science machine-learning,Coursera_IT_cleaned,core_it,1.0
JavaScript Strings: Properties and Methods,Coursera Project Network,Beginner,5.0,0.0,https://www.coursera.org/learn/javascript-strings-properties-methods,"In this beginning-level course you will learn and practice new string-handling skills using Notepad++ to write JavaScript code and the Chrome browser to view your results. Since text data is commonly used as a string in JavaScript, the ability to use and manipulate strings is a key component in JavaScript programming. You will learn some of the properties and methods that make string handling easier. Note: This course works best for learners who are based in the North America region. We re currently working on providing the same experience in other regions.",.properties hold project concatenation ternary conditional operator holding value extract computer programming text corpus text editors computer-science mobile-and-web-development,Coursera_IT_cleaned,core_it,1.0
"Java Inheritance, Composition and Aggregation",Coursera Project Network,Beginner,5.0,0.0,https://www.coursera.org/learn/java-inheritance-composition-and-aggregation,"In this project you will create a Java application that inherits from a Car class in Java and use aggregation and composition in a class that uses one to many Car objects. Code re-use allows the developer to use tried and tested code, which results in more reliable code and saves in development time as well. In Object-Oriented Programming in a language such as Java, code re-use can be accomplished in two distinctive ways. One way is to inherit from an existing class by extending its existing functionality. A Car class for example can be extended by a Used Car class by adding a parameter to indicate the number of miles on it. Another common way to re-use code is through aggregation and composition. In aggregation, the class is made up of other existing classes that may exist independent of the parent class. Note: This course works best for learners who are based in the North America region. We re currently working on providing the same experience in other regions.",child is-a computer programming parent ordered pair user (computing) parenting project code reuse inheritance (object-oriented programming) computer-science software-development,Coursera_IT_cleaned,core_it,1.0
Run a Sparkline Trend Analysis in Google Sheets,Coursera Project Network,Beginner,5.0,0.0,https://www.coursera.org/learn/run-a-sparkline-trend-analysis-in-google-sheets,"We have all experienced a moment, when taking in complex information, where understanding crystalizes when a visualization is included to help convey the data story. Sometimes this is an artfully created graphic and other times it is a simple bar chart that helps us suddenly grasp the meaning of a data set. Sparklines are simple, tiny charts that offer a quick visualization of a data set within a worksheet cell. Sparklines are an important tool in an analyst s toolbox to visually analyze data while conducting an exploratory analysis to uncover possible patterns and quickly grasp trends in a data set. By the end of this course you will understand use cases for inserting sparklines into a spreadsheet and you will be able to confidently create line, bar, column, and win/loss sparkline charts in any spreadsheet software. Note: This course works best for learners who are based in the North America region. We re currently working on providing the same experience in other regions.",line chart eulers totient function lookup table spreadsheet software running chart spreadsheet data analysis exploratory data analysis trend analysis data-science data-analysis,Coursera_IT_cleaned,core_it,1.0
Build CRUD REST API in Django,Coursera Project Network,Intermediate,5.0,0.0,https://www.coursera.org/learn/build-django-restful-api,"In this 1-hour 45 minutes long project-based course, you will learn about REST API and REST Architecture and be able to build a CRUD REST API in Django. This project is aimed at learners who are wanting to learn building REST API in Django using Django REST Framework. It will help to expand your knowledge to create a strong backend for any project. You will get familiar with the basics of View Wrappers, Request/Response, and data Serialization and understand their implementation in REST API using Django REST Framework. For this project, you should have basics knowledge of Django and also know how to use the POSTMAN tool for testing API. Note: This course works best for learners who are based in the North America region. We re currently working on providing the same experience in other regions.",serialization project project mine django (web framework) application programming interfaces ordered pair front and back ends modeling representational state transfer directory structure computer-science software-development,Coursera_IT_cleaned,core_it,1.0
Artificial Intelligence Ethics in Action,LearnQuest,Beginner,5.0,0.0,https://www.coursera.org/learn/ai-ethics-analysis,"AI Ethics research is an emerging field, and to prove our skills, we need to demonstrate our critical thinking and analytical ability. Since it's not reasonable to jump into a full research paper with our newly founded skills, we will instead work on 3 projects that will demonstrate your ability to analyze ethical AI across a variety of topics and situations. These projects include all the skills you've learned in this AI Ethics Specialization.",game theory ethics project project mine text mode .bit a/rose predictive text little b (programming language) modeling data-science data-analysis,Coursera_IT_cleaned,core_it,1.0
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,University of Michigan,Advanced,5.0,0.0,https://www.coursera.org/learn/3d-modeling-rhinoscript,"Why should a designer learn to code? As our world is increasingly impacted by the use of algorithms, designers must learn how to use and create design computing programs. Designers must go beyond the narrowly focused use of computers in the automation of simple drafting/modeling tasks and instead explore the extraordinary potential digitalization holds for design culture/practice. Structured around a series of fundamental design problems, this course will show you Python code in terms of its rules and syntax, and what we can do with it in its application and design. So, by the end of this course, you will know the fundamentals of Python and Rhino script, but importantly, through the lens of their application in geometrically focused design lessons and exercises. Subjects covered in this course - An introduction to Design Computing as a subject and why designers should learn to code. - The fundamentals of coding in the Python scripting language. By the end of the course students will be familiar with the basic structure and syntax of this language. - The understanding and application of Rhinoscriptsyntax, a native coding language in Rhinoceros that s imported into Python, which allows one to create and control geometries through authoring code. - The application of Procedural Logics - the structuring of coding systems to produce variable geometric form. - The output of geometries in still and animate forms.",python programming 3d modeling graphic design computer-aided design 3d scanner 3d reconstruction building information modeling undefined variable machine learning spacer gif computer-science design-and-product,Coursera_IT_cleaned,core_it,1.0
A Geometrical Approach to Genome Analysis: Skew & Z-Curve,Coursera Project Network,Beginner,5.0,0.0,https://www.coursera.org/learn/genome-analysis-z-curve,"In this 1-hour long project-based course, you will learn how to analyze a complete viral genome using geometrical methods (skews and Z-curve), 2D- and 3D-plotting in Python, and how to use some important Python libraries (like Tkinter, Matplotlib, and NumPy) helping you accomplish this. You will also learn about the genomes of some viruses including, Corona, SARS, HIV, Zika, Nidovirous, and rubella viruses.",saving project probability density function project mine entry point students t-distribution analysis three-dimensional graph portable document format graphs data-science data-analysis,Coursera_IT_cleaned,core_it,1.0
